,ID,TV,Radio,Newspaper,Sales
0,0,230.1,37.8,69.2,22.1
1,1,44.5,39.3,45.1,10.4
2,2,17.2,45.9,69.3,12.0
3,3,151.5,41.3,58.5,16.5
4,4,180.8,10.8,58.4,17.9
5,5,8.7,48.9,75.0,7.2
6,6,57.5,32.8,23.5,11.8
7,7,120.2,19.6,11.6,13.2
8,8,8.6,2.1,1.0,4.8
9,9,199.8,2.6,21.2,15.6
10,10,66.1,5.8,24.2,12.6
11,11,214.7,24.0,4.0,17.4
12,12,23.8,35.1,65.9,9.2
13,13,97.5,7.6,7.2,13.7
14,14,204.1,32.9,46.0,19.0
15,15,195.4,47.7,52.9,22.4
16,16,67.8,36.6,114.0,12.5
17,17,281.4,39.6,55.8,24.4
18,18,69.2,20.5,18.3,11.3
19,19,147.3,23.9,19.1,14.6
20,20,218.4,27.7,53.4,18.0
21,21,237.4,5.1,23.5,17.5
22,22,13.2,15.9,49.6,5.6
23,23,228.3,16.9,26.2,20.5
24,24,62.3,12.6,18.3,9.7
25,25,262.9,3.5,19.5,17.0
26,26,142.9,29.3,12.6,15.0
27,27,240.1,16.7,22.9,20.9
28,28,248.8,27.1,22.9,18.9
29,29,70.6,16.0,40.8,10.5
30,30,292.9,28.3,43.2,21.4
31,31,112.9,17.4,38.6,11.9
32,32,97.2,1.5,30.0,13.2
33,33,265.6,20.0,0.3,17.4
34,34,95.7,1.4,7.4,11.9
35,35,290.7,4.1,8.5,17.8
36,36,266.9,43.8,5.0,25.4
37,37,74.7,49.4,45.7,14.7
38,38,43.1,26.7,35.1,10.1
39,39,228.0,37.7,32.0,21.5
40,40,202.5,22.3,31.6,16.6
41,41,177.0,33.4,38.7,17.1
42,42,293.6,27.7,1.8,20.7
43,43,206.9,8.4,26.4,17.9
44,44,25.1,25.7,43.3,8.5
45,45,175.1,22.5,31.5,16.1
46,46,89.7,9.9,35.7,10.6
47,47,239.9,41.5,18.5,23.2
48,48,227.2,15.8,49.9,19.8
49,49,66.9,11.7,36.8,9.7
50,50,199.8,3.1,34.6,16.4
51,51,100.4,9.6,3.6,10.7
52,52,216.4,41.7,39.6,22.6
53,53,182.6,46.2,58.7,21.2
54,54,262.7,28.8,15.9,20.2
55,55,198.9,49.4,60.0,23.7
56,56,7.3,28.1,41.4,5.5
57,57,136.2,19.2,16.6,13.2
58,58,210.8,49.6,37.7,23.8
59,59,210.7,29.5,9.3,18.4
60,60,53.5,2.0,21.4,8.1
61,61,261.3,42.7,54.7,24.2
62,62,239.3,15.5,27.3,20.7
63,63,102.7,29.6,8.4,14.0
64,64,131.1,42.8,28.9,16.0
65,65,69.0,9.3,0.9,11.3
66,66,31.5,24.6,2.2,11.0
67,67,139.3,14.5,10.2,13.4
68,68,237.4,27.5,11.0,18.9
69,69,216.8,43.9,27.2,22.3
70,70,199.1,30.6,38.7,18.3
71,71,109.8,14.3,31.7,12.4
72,72,26.8,33.0,19.3,8.8
73,73,129.4,5.7,31.3,11.0
74,74,213.4,24.6,13.1,17.0
75,75,16.9,43.7,89.4,8.7
76,76,27.5,1.6,20.7,6.9
77,77,120.5,28.5,14.2,14.2
78,78,5.4,29.9,9.4,5.3
79,79,116.0,7.7,23.1,11.0
80,80,76.4,26.7,22.3,11.8
81,81,239.8,4.1,36.9,17.3
82,82,75.3,20.3,32.5,11.3
83,83,68.4,44.5,35.6,13.6
84,84,213.5,43.0,33.8,21.7
85,85,193.2,18.4,65.7,20.2
86,86,76.3,27.5,16.0,12.0
87,87,110.7,40.6,63.2,16.0
88,88,88.3,25.5,73.4,12.9
89,89,109.8,47.8,51.4,16.7
90,90,134.3,4.9,9.3,14.0
91,91,28.6,1.5,33.0,7.3
92,92,217.7,33.5,59.0,19.4
93,93,250.9,36.5,72.3,22.2
94,94,107.4,14.0,10.9,11.5
95,95,163.3,31.6,52.9,16.9
96,96,197.6,3.5,5.9,16.7
97,97,184.9,21.0,22.0,20.5
98,98,289.7,42.3,51.2,25.4
99,99,135.2,41.7,45.9,17.2
100,100,222.4,4.3,49.8,16.7
101,101,296.4,36.3,100.9,23.8
102,102,280.2,10.1,21.4,19.8
103,103,187.9,17.2,17.9,19.7
104,104,238.2,34.3,5.3,20.7
105,105,137.9,46.4,59.0,15.0
106,106,25.0,11.0,29.7,7.2
107,107,90.4,0.3,23.2,12.0
108,108,13.1,0.4,25.6,5.3
109,109,255.4,26.9,5.5,19.8
110,110,225.8,8.2,56.5,18.4
111,111,241.7,38.0,23.2,21.8
112,112,175.7,15.4,2.4,17.1
113,113,209.6,20.6,10.7,20.9
114,114,78.2,46.8,34.5,14.6
115,115,75.1,35.0,52.7,12.6
116,116,139.2,14.3,25.6,12.2
117,117,76.4,0.8,14.8,9.4
118,118,125.7,36.9,79.2,15.9
119,119,19.4,16.0,22.3,6.6
120,120,141.3,26.8,46.2,15.5
121,121,18.8,21.7,50.4,7.0
122,122,224.0,2.4,15.6,16.6
123,123,123.1,34.6,12.4,15.2
124,124,229.5,32.3,74.2,19.7
125,125,87.2,11.8,25.9,10.6
126,126,7.8,38.9,50.6,6.6
127,127,80.2,0.0,9.2,11.9
128,128,220.3,49.0,3.2,24.7
129,129,59.6,12.0,43.1,9.7
130,130,0.7,39.6,8.7,1.6
131,131,265.2,2.9,43.0,17.7
132,132,8.4,27.2,2.1,5.7
133,133,219.8,33.5,45.1,19.6
134,134,36.9,38.6,65.6,10.8
135,135,48.3,47.0,8.5,11.6
136,136,25.6,39.0,9.3,9.5
137,137,273.7,28.9,59.7,20.8
138,138,43.0,25.9,20.5,9.6
139,139,184.9,43.9,1.7,20.7
140,140,73.4,17.0,12.9,10.9
141,141,193.7,35.4,75.6,19.2
142,142,220.5,33.2,37.9,20.1
143,143,104.6,5.7,34.4,10.4
144,144,96.2,14.8,38.9,12.3
145,145,140.3,1.9,9.0,10.3
146,146,240.1,7.3,8.7,18.2
147,147,243.2,49.0,44.3,25.4
148,148,38.0,40.3,11.9,10.9
149,149,44.7,25.8,20.6,10.1
